id,host_id,listing_url,last_scraped,host_since,first_review,last_review,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,has_availability,instant_bookable,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calendar_updated,calculated_host_listings_count_shared_rooms,host_location,source,neighbourhood_group_cleansed
1263174408185552813,479503335,https://www.airbnb.com/rooms/1263174408185552813,2024-12-23,2022-09-14,,,LoftMe,within an hour,100%,100%,f,71,t,f,East Village,32.70984,-117.15889,Room in hotel,Hotel room,4,1 bath,1.0,2.0,"[""Wifi"", ""Paid parking on premises"", ""Building staff"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Self check-in""]",t,t,240.0,1,1125,1.0,585.3,26,296,0,0,0,,,,,,,,Exempt,,0,,city scrape,
1263177887691173994,468914943,https://www.airbnb.com/rooms/1263177887691173994,2024-12-23,2022-07-11,,,RoomPicks,within an hour,100%,97%,f,919,t,f,East Village,32.70984,-117.15889,Room in hotel,Hotel room,4,1 bath,1.0,1.0,"[""Wifi"", ""Paid parking on premises"", ""Building staff"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Self check-in""]",t,t,240.0,1,1125,1.0,694.3,29,293,0,0,0,,,,,,,,Exempt,,0,,city scrape,
1263177925128469370,468914943,https://www.airbnb.com/rooms/1263177925128469370,2024-12-23,2022-07-11,,,RoomPicks,within an hour,100%,97%,f,919,t,f,East Village,32.70984,-117.15889,Room in hotel,Hotel room,4,1 bath,1.0,1.0,"[""Wifi"", ""Paid parking on premises"", ""Building staff"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Self check-in""]",t,t,240.0,1,1125,1.0,694.3,29,293,0,0,0,,,,,,,,Exempt,,0,,city scrape,
1263178992382734912,468914943,https://www.airbnb.com/rooms/1263178992382734912,2024-12-23,2022-07-11,,,RoomPicks,within an hour,100%,97%,f,919,t,f,East Village,32.70984,-117.15889,Room in hotel,Hotel room,3,1 bath,1.0,1.0,"[""Wifi"", ""Paid parking on premises"", ""Building staff"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Self check-in""]",t,t,240.0,1,1125,1.8,735.6,30,302,0,0,0,,,,,,,,Exempt,,0,,city scrape,
1263178992755348503,468914943,https://www.airbnb.com/rooms/1263178992755348503,2024-12-23,2022-07-11,,,RoomPicks,within an hour,100%,97%,f,919,t,f,East Village,32.70984,-117.15889,Room in hotel,Hotel room,3,1 bath,1.0,1.0,"[""Wifi"", ""Paid parking on premises"", ""Building staff"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Bed linens"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""First aid kit"", ""Air conditioning"", ""Self check-in""]",t,t,240.0,1,1125,1.8,735.6,30,302,0,0,0,,,,,,,,Exempt,,0,,city scrape,
1263220749982595584,51424363,https://www.airbnb.com/rooms/1263220749982595584,2024-12-23,2015-12-15,2024-11-24,2024-12-17,Filipe,within an hour,100%,98%,t,9,t,t,Lincoln Park,32.703269296104885,-117.09001297953589,Private room in home,Private room,2,1 shared bath,1.0,1.0,"[""Wifi"", ""Coffee maker: drip coffee maker"", ""32 inch TV"", ""Carbon monoxide alarm"", ""Free driveway parking on premises \u2013 3 spaces"", ""Smoke alarm"", ""Dedicated workspace"", ""Central heating"", ""Exterior security cameras on property"", ""Free street parking"", ""Central air conditioning"", ""Bed linens"", ""Portable fans"", ""Mini fridge"", ""Microwave"", ""Essentials"", ""Body soap"", ""Lockbox"", ""Hot water"", ""Lock on bedroom door"", ""Clothing storage: closet"", ""Self check-in""]",t,f,75.0,2,7,2.0,1125.0,24,93,4,4,4,5.0,4.75,5.0,5.0,5.0,5.0,4.75,"STR-07669L, 648865",,0,"San Diego, CA",city scrape,
1263290202219612100,330059133,https://www.airbnb.com/rooms/1263290202219612100,2024-12-23,2020-01-22,2024-10-27,2024-12-19,Crystal,within an hour,100%,95%,f,1,t,t,Otay Ranch,32.59574,-116.9979,Private room in bed and breakfast,Private room,2,1 private bath,1.0,1.0,"[""Private living room"", ""Wifi"", ""Carbon monoxide alarm"", ""TV"", ""Smoke alarm"", ""Coffee"", ""Coffee maker: Keurig coffee machine"", ""Fire extinguisher"", ""Shared outdoor pool - available all year, open specific hours, heated, lap pool"", ""Central heating"", ""Exterior security cameras on property"", ""Shower gel"", ""Free street parking"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Private entrance"", ""Hot water kettle"", ""Bed linens"", ""Extra pillows and blankets"", ""Body soap"", ""Iron"", ""Ethernet connection"", ""Air conditioning"", ""Hot water"", ""Lock on bedroom door"", ""Clothing storage: closet""]",t,f,140.0,1,30,1.0,30.0,30,180,8,8,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR24-0064,,0,"Chula Vista, CA",city scrape,
1263404582382935443,588491599,https://www.airbnb.com/rooms/1263404582382935443,2024-12-23,2024-07-09,,,Guiduan,within an hour,98%,70%,t,668,t,t,Midtown District,32.730703985976206,-117.21699848771097,Room in hotel,Private room,4,1 private bath,1.0,2.0,"[""Exercise equipment"", ""Dedicated workspace"", ""Heating"", ""Air conditioning"", ""Crib"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Fire pit"", ""Outdoor dining area"", ""Pool"", ""Paid parking on premises"", ""Hair dryer"", ""TV"", ""Iron"", ""Smoke alarm""]",t,f,342.0,1,365,1.0,365.0,30,365,0,0,0,,,,,,,,Exempt,,0,"Los Angeles, CA",city scrape,
1263408971941088400,588491599,https://www.airbnb.com/rooms/1263408971941088400,2024-12-23,2024-07-09,,,Guiduan,within an hour,98%,70%,t,668,t,t,Midtown District,32.730097030880984,-117.21493989229202,Room in hotel,Private room,4,1 private bath,1.0,2.0,"[""Exercise equipment"", ""Dedicated workspace"", ""Heating"", ""Air conditioning"", ""Crib"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Fire pit"", ""Outdoor dining area"", ""Pool"", ""Paid parking on premises"", ""Hair dryer"", ""TV"", ""Iron"", ""Smoke alarm""]",t,f,439.0,1,365,1.0,365.0,30,365,0,0,0,,,,,,,,Exempt,,0,"Los Angeles, CA",city scrape,
1263411713004757229,588491599,https://www.airbnb.com/rooms/1263411713004757229,2024-12-23,2024-07-09,,,Guiduan,within an hour,98%,70%,t,668,t,t,Midtown District,32.73077731670232,-117.21701189875604,Room in hotel,Private room,8,2 baths,2.0,4.0,"[""Exercise equipment"", ""Dedicated workspace"", ""Heating"", ""Air conditioning"", ""Crib"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Fire pit"", ""Outdoor dining area"", ""Pool"", ""Paid parking on premises"", ""Hair dryer"", ""TV"", ""Iron"", ""Smoke alarm""]",t,f,765.0,1,365,1.0,365.0,30,365,0,0,0,,,,,,,,Exempt,,0,"Los Angeles, CA",city scrape,
